"id"	"schoolyear"	"gender"	"house"
0	1989	1	4
1	1989	2	1
2	1989	2	1
3	1991	1	3
4	1991	1	4
5	1989	1	4
6	1988	1	2
7	1990	2	3
8	1992	1	1
9	1990	1	1
10	1991	1	1
11	1993	2	1
12	1994	1	1
13	1991	1	4
14	1990	1	3
15	1994	2	2
16	1991	1	2
17	1995	1	1
18	1989	1	1
19	1989	1	1
20	1992	2	1
21	1994	1	4
22	1991	1	4
23	1991	2	2
24	1991	1	1
25	1991	2	1
26	1994	1	1
27	1991	1	2
28	1990	2	1
29	1994	1	2
30	1991	2	1
31	1991	2	2
32	1989	1	1
33	1988	1	4
34	1992	2	3
35	1994	1	4
36	1991	2	3
37	1990	1	3
38	1986	1	4
39	1991	1	3
40	1989	1	4
41	1991	2	4
42	1994	2	1
43	1991	1	1
44	1987	1	1
45	1994	2	3
46	1994	1	2
47	1991	2	3
48	1991	2	4
49	1991	2	1
50	1987	2	3
51	1987	1	1
52	1988	1	4
53	1989	1	3
54	1993	2	1
55	1991	1	1
56	1995	2	2
57	1991	1	1
58	1994	1	3
59	1991	2	2
60	1991	1	3
61	1991	1	4
62	1991	1	4
63	1991	1	2
64	1991	1	2
