"id"	"name"
0	"Adrian Pucey"
1	"Alicia Spinnet"
2	"Angelina Johnson"
3	"Anthony Goldstein"
4	"Blaise Zabini"
5	"C. Warrington"
6	"Cedric Diggory"
7	"Cho Chang"
8	"Colin Creevey"
9	"Cormac McLaggen"
10	"Dean Thomas"
11	"Demelza Robins"
12	"Dennis Creevey"
13	"Draco Malfoy"
14	"Eddie Carmichael"
15	"Eleanor Branstone"
16	"Ernie Macmillan"
17	"Euan Abercrombie"
18	"Fred Weasley"
19	"George Weasley"
20	"Ginny Weasley"
21	"Graham Pritchard"
22	"Gregory Goyle"
23	"Hannah Abbott"
24	"Harry James Potter"
25	"Hermione Granger"
26	"Jimmy Peakes"
27	"Justin Finch-Fletchley"
28	"Katie Bell"
29	"Kevin Whitby"
30	"Lavender Brown"
31	"Leanne"
32	"Lee Jordan"
33	"Lucian Bole"
34	"Luna Lovegood"
35	"Malcolm Baddock"
36	"Mandy Brocklehurst"
37	"Marcus Belby"
38	"Marcus Flint"
39	"Michael Corner"
40	"Miles Bletchley"
41	"Millicent Bulstrode"
42	"Natalie McDonald"
43	"Neville Longbottom"
44	"Oliver Wood"
45	"Orla Quirke"
46	"Owen Cauldwell"
47	"Padma Patil"
48	"Pansy Parkinson"
49	"Parvati Patil"
50	"Penelope Clearwater"
51	"Percy Weasley"
52	"Peregrine Derrick"
53	"Roger Davies"
54	"Romilda Vane"
55	"Ronald Weasley"
56	"Rose Zeller"
57	"Seamus Finnigan"
58	"Stewart Ackerley"
59	"Susan Bones"
60	"Terry Boot"
61	"Theodore Nott"
62	"Vincent Crabbe"
63	"Zacharias Smith"
