Karakter,İç Derece,Dış Derece,Derece
Adrian Pucey,0,0,0
Alicia Spinnet,9,9,18
Angelina Johnson,9,9,18
Anthony Goldstein,6,7,13
Blaise Zabini,0,0,0
C. Warrington,0,0,0
Cedric Diggory,2,3,5
Cho Chang,3,2,5
Colin Creevey,2,3,5
Cormac McLaggen,0,0,0
Dean Thomas,7,8,15
Demelza Robins,4,1,5
Dennis Creevey,2,3,5
Draco Malfoy,5,3,8
Eddie Carmichael,0,0,0
Eleanor Branstone,0,0,0
Ernie Macmillan,7,7,14
Euan Abercrombie,0,0,0
Fred Weasley,11,11,22
George Weasley,11,11,22
Ginny Weasley,9,9,18
Graham Pritchard,0,0,0
Gregory Goyle,3,4,7
Hannah Abbott,6,7,13
Harry James Potter,27,20,47
Hermione Granger,13,15,28
Jimmy Peakes,1,2,3
Justin Finch-Fletchley,7,7,14
Katie Bell,10,7,17
Kevin Whitby,0,0,0
Lavender Brown,5,2,7
Leanne,4,2,6
Lee Jordan,4,5,9
Lucian Bole,0,0,0
Luna Lovegood,6,6,12
Malcolm Baddock,0,0,0
Mandy Brocklehurst,0,0,0
Marcus Belby,1,1,2
Marcus Flint,2,2,4
Michael Corner,0,0,0
Miles Bletchley,0,0,0
Millicent Bulstrode,0,0,0
Natalie McDonald,0,0,0
Neville Longbottom,9,8,17
Oliver Wood,7,8,15
Orla Quirke,0,0,0
Owen Cauldwell,0,0,0
Padma Patil,0,1,1
Pansy Parkinson,4,4,8
Parvati Patil,3,5,8
Penelope Clearwater,0,0,0
Percy Weasley,1,4,5
Peregrine Derrick,0,0,0
Roger Davies,1,1,2
Romilda Vane,0,0,0
Ronald Weasley,16,15,31
Rose Zeller,0,0,0
Seamus Finnigan,7,8,15
Stewart Ackerley,0,0,0
Susan Bones,6,7,13
Terry Boot,6,8,14
Theodore Nott,0,0,0
Vincent Crabbe,3,4,7
Zacharias Smith,0,0,0
