,Jacard Benzerliği
"('Adrian Pucey', 'Alicia Spinnet')",0.0
"('Adrian Pucey', 'Angelina Johnson')",0.0
"('Adrian Pucey', 'Anthony Goldstein')",0.0
"('Adrian Pucey', 'Blaise Zabini')",0.0
"('Adrian Pucey', 'C. Warrington')",0.0
"('Adrian Pucey', 'Cedric Diggory')",0.0
"('Adrian Pucey', 'Cho Chang')",0.0
"('Adrian Pucey', 'Colin Creevey')",0.0
"('Adrian Pucey', 'Cormac McLaggen')",0.0
"('Adrian Pucey', 'Dean Thomas')",0.0
"('Adrian Pucey', 'Demelza Robins')",0.0
"('Adrian Pucey', 'Dennis Creevey')",0.0
"('Adrian Pucey', 'Draco Malfoy')",0.0
"('Adrian Pucey', 'Eddie Carmichael')",0.0
"('Adrian Pucey', 'Eleanor Branstone')",0.0
"('Adrian Pucey', 'Ernie Macmillan')",0.0
"('Adrian Pucey', 'Euan Abercrombie')",0.0
"('Adrian Pucey', 'Fred Weasley')",0.0
"('Adrian Pucey', 'George Weasley')",0.0
"('Adrian Pucey', 'Ginny Weasley')",0.0
"('Adrian Pucey', 'Graham Pritchard')",0.0
"('Adrian Pucey', 'Gregory Goyle')",0.0
"('Adrian Pucey', 'Hannah Abbott')",0.0
"('Adrian Pucey', 'Harry James Potter')",0.0
"('Adrian Pucey', 'Hermione Granger')",0.0
"('Adrian Pucey', 'Jimmy Peakes')",0.0
"('Adrian Pucey', 'Justin Finch-Fletchley')",0.0
"('Adrian Pucey', 'Katie Bell')",0.0
"('Adrian Pucey', 'Kevin Whitby')",0.0
"('Adrian Pucey', 'Lavender Brown')",0.0
"('Adrian Pucey', 'Leanne')",0.0
"('Adrian Pucey', 'Lee Jordan')",0.0
"('Adrian Pucey', 'Lucian Bole')",0.0
"('Adrian Pucey', 'Luna Lovegood')",0.0
"('Adrian Pucey', 'Malcolm Baddock')",0.0
"('Adrian Pucey', 'Mandy Brocklehurst')",0.0
"('Adrian Pucey', 'Marcus Belby')",0.0
"('Adrian Pucey', 'Marcus Flint')",0.0
"('Adrian Pucey', 'Michael Corner')",0.0
"('Adrian Pucey', 'Miles Bletchley')",0.0
"('Adrian Pucey', 'Millicent Bulstrode')",0.0
"('Adrian Pucey', 'Natalie McDonald')",0.0
"('Adrian Pucey', 'Neville Longbottom')",0.0
"('Adrian Pucey', 'Oliver Wood')",0.0
"('Adrian Pucey', 'Orla Quirke')",0.0
"('Adrian Pucey', 'Owen Cauldwell')",0.0
"('Adrian Pucey', 'Padma Patil')",0.0
"('Adrian Pucey', 'Pansy Parkinson')",0.0
"('Adrian Pucey', 'Parvati Patil')",0.0
"('Adrian Pucey', 'Penelope Clearwater')",0.0
"('Adrian Pucey', 'Percy Weasley')",0.0
"('Adrian Pucey', 'Peregrine Derrick')",0.0
"('Adrian Pucey', 'Roger Davies')",0.0
"('Adrian Pucey', 'Romilda Vane')",0.0
"('Adrian Pucey', 'Ronald Weasley')",0.0
"('Adrian Pucey', 'Rose Zeller')",0.0
"('Adrian Pucey', 'Seamus Finnigan')",0.0
"('Adrian Pucey', 'Stewart Ackerley')",0.0
"('Adrian Pucey', 'Susan Bones')",0.0
"('Adrian Pucey', 'Terry Boot')",0.0
"('Adrian Pucey', 'Theodore Nott')",0.0
"('Adrian Pucey', 'Vincent Crabbe')",0.0
"('Adrian Pucey', 'Zacharias Smith')",0.0
"('Alicia Spinnet', 'Adrian Pucey')",0.0
"('Alicia Spinnet', 'Angelina Johnson')",1.0
"('Alicia Spinnet', 'Anthony Goldstein')",0.06666666666666667
"('Alicia Spinnet', 'Blaise Zabini')",0.0
"('Alicia Spinnet', 'C. Warrington')",0.0
"('Alicia Spinnet', 'Cedric Diggory')",0.09090909090909091
"('Alicia Spinnet', 'Cho Chang')",0.1
"('Alicia Spinnet', 'Colin Creevey')",0.09090909090909091
"('Alicia Spinnet', 'Cormac McLaggen')",0.0
"('Alicia Spinnet', 'Dean Thomas')",0.21428571428571427
"('Alicia Spinnet', 'Demelza Robins')",0.0
"('Alicia Spinnet', 'Dennis Creevey')",0.09090909090909091
"('Alicia Spinnet', 'Draco Malfoy')",0.0
"('Alicia Spinnet', 'Eddie Carmichael')",0.0
"('Alicia Spinnet', 'Eleanor Branstone')",0.0
"('Alicia Spinnet', 'Ernie Macmillan')",0.06666666666666667
"('Alicia Spinnet', 'Euan Abercrombie')",0.0
"('Alicia Spinnet', 'Fred Weasley')",0.8181818181818182
"('Alicia Spinnet', 'George Weasley')",0.8181818181818182
"('Alicia Spinnet', 'Ginny Weasley')",0.38461538461538464
"('Alicia Spinnet', 'Graham Pritchard')",0.0
"('Alicia Spinnet', 'Gregory Goyle')",0.0
"('Alicia Spinnet', 'Hannah Abbott')",0.06666666666666667
"('Alicia Spinnet', 'Harry James Potter')",0.38095238095238093
"('Alicia Spinnet', 'Hermione Granger')",0.6
"('Alicia Spinnet', 'Jimmy Peakes')",0.0
"('Alicia Spinnet', 'Justin Finch-Fletchley')",0.06666666666666667
"('Alicia Spinnet', 'Katie Bell')",0.7777777777777778
"('Alicia Spinnet', 'Kevin Whitby')",0.0
"('Alicia Spinnet', 'Lavender Brown')",0.1
"('Alicia Spinnet', 'Leanne')",0.1
"('Alicia Spinnet', 'Lee Jordan')",0.4
"('Alicia Spinnet', 'Lucian Bole')",0.0
"('Alicia Spinnet', 'Luna Lovegood')",0.25
"('Alicia Spinnet', 'Malcolm Baddock')",0.0
"('Alicia Spinnet', 'Mandy Brocklehurst')",0.0
"('Alicia Spinnet', 'Marcus Belby')",0.0
"('Alicia Spinnet', 'Marcus Flint')",0.0
"('Alicia Spinnet', 'Michael Corner')",0.0
"('Alicia Spinnet', 'Miles Bletchley')",0.0
"('Alicia Spinnet', 'Millicent Bulstrode')",0.0
"('Alicia Spinnet', 'Natalie McDonald')",0.0
"('Alicia Spinnet', 'Neville Longbottom')",0.21428571428571427
"('Alicia Spinnet', 'Oliver Wood')",0.8888888888888888
"('Alicia Spinnet', 'Orla Quirke')",0.0
"('Alicia Spinnet', 'Owen Cauldwell')",0.0
"('Alicia Spinnet', 'Padma Patil')",0.1111111111111111
"('Alicia Spinnet', 'Pansy Parkinson')",0.0
"('Alicia Spinnet', 'Parvati Patil')",0.0
"('Alicia Spinnet', 'Penelope Clearwater')",0.0
"('Alicia Spinnet', 'Percy Weasley')",0.18181818181818182
"('Alicia Spinnet', 'Peregrine Derrick')",0.0
"('Alicia Spinnet', 'Roger Davies')",0.0
"('Alicia Spinnet', 'Romilda Vane')",0.0
"('Alicia Spinnet', 'Ronald Weasley')",0.5
"('Alicia Spinnet', 'Rose Zeller')",0.0
"('Alicia Spinnet', 'Seamus Finnigan')",0.21428571428571427
"('Alicia Spinnet', 'Stewart Ackerley')",0.0
"('Alicia Spinnet', 'Susan Bones')",0.06666666666666667
"('Alicia Spinnet', 'Terry Boot')",0.13333333333333333
"('Alicia Spinnet', 'Theodore Nott')",0.0
"('Alicia Spinnet', 'Vincent Crabbe')",0.0
"('Alicia Spinnet', 'Zacharias Smith')",0.0
"('Angelina Johnson', 'Adrian Pucey')",0.0
"('Angelina Johnson', 'Alicia Spinnet')",1.0
"('Angelina Johnson', 'Anthony Goldstein')",0.06666666666666667
"('Angelina Johnson', 'Blaise Zabini')",0.0
"('Angelina Johnson', 'C. Warrington')",0.0
"('Angelina Johnson', 'Cedric Diggory')",0.09090909090909091
"('Angelina Johnson', 'Cho Chang')",0.1
"('Angelina Johnson', 'Colin Creevey')",0.09090909090909091
"('Angelina Johnson', 'Cormac McLaggen')",0.0
"('Angelina Johnson', 'Dean Thomas')",0.21428571428571427
"('Angelina Johnson', 'Demelza Robins')",0.0
"('Angelina Johnson', 'Dennis Creevey')",0.09090909090909091
"('Angelina Johnson', 'Draco Malfoy')",0.0
"('Angelina Johnson', 'Eddie Carmichael')",0.0
"('Angelina Johnson', 'Eleanor Branstone')",0.0
"('Angelina Johnson', 'Ernie Macmillan')",0.06666666666666667
"('Angelina Johnson', 'Euan Abercrombie')",0.0
"('Angelina Johnson', 'Fred Weasley')",0.8181818181818182
"('Angelina Johnson', 'George Weasley')",0.8181818181818182
"('Angelina Johnson', 'Ginny Weasley')",0.38461538461538464
"('Angelina Johnson', 'Graham Pritchard')",0.0
"('Angelina Johnson', 'Gregory Goyle')",0.0
"('Angelina Johnson', 'Hannah Abbott')",0.06666666666666667
"('Angelina Johnson', 'Harry James Potter')",0.38095238095238093
"('Angelina Johnson', 'Hermione Granger')",0.6
"('Angelina Johnson', 'Jimmy Peakes')",0.0
"('Angelina Johnson', 'Justin Finch-Fletchley')",0.06666666666666667
"('Angelina Johnson', 'Katie Bell')",0.7777777777777778
"('Angelina Johnson', 'Kevin Whitby')",0.0
"('Angelina Johnson', 'Lavender Brown')",0.1
"('Angelina Johnson', 'Leanne')",0.1
"('Angelina Johnson', 'Lee Jordan')",0.4
"('Angelina Johnson', 'Lucian Bole')",0.0
"('Angelina Johnson', 'Luna Lovegood')",0.25
"('Angelina Johnson', 'Malcolm Baddock')",0.0
"('Angelina Johnson', 'Mandy Brocklehurst')",0.0
"('Angelina Johnson', 'Marcus Belby')",0.0
"('Angelina Johnson', 'Marcus Flint')",0.0
"('Angelina Johnson', 'Michael Corner')",0.0
"('Angelina Johnson', 'Miles Bletchley')",0.0
"('Angelina Johnson', 'Millicent Bulstrode')",0.0
"('Angelina Johnson', 'Natalie McDonald')",0.0
"('Angelina Johnson', 'Neville Longbottom')",0.21428571428571427
"('Angelina Johnson', 'Oliver Wood')",0.8888888888888888
"('Angelina Johnson', 'Orla Quirke')",0.0
"('Angelina Johnson', 'Owen Cauldwell')",0.0
"('Angelina Johnson', 'Padma Patil')",0.1111111111111111
"('Angelina Johnson', 'Pansy Parkinson')",0.0
"('Angelina Johnson', 'Parvati Patil')",0.0
"('Angelina Johnson', 'Penelope Clearwater')",0.0
"('Angelina Johnson', 'Percy Weasley')",0.18181818181818182
"('Angelina Johnson', 'Peregrine Derrick')",0.0
"('Angelina Johnson', 'Roger Davies')",0.0
"('Angelina Johnson', 'Romilda Vane')",0.0
"('Angelina Johnson', 'Ronald Weasley')",0.5
"('Angelina Johnson', 'Rose Zeller')",0.0
"('Angelina Johnson', 'Seamus Finnigan')",0.21428571428571427
"('Angelina Johnson', 'Stewart Ackerley')",0.0
"('Angelina Johnson', 'Susan Bones')",0.06666666666666667
"('Angelina Johnson', 'Terry Boot')",0.13333333333333333
"('Angelina Johnson', 'Theodore Nott')",0.0
"('Angelina Johnson', 'Vincent Crabbe')",0.0
"('Angelina Johnson', 'Zacharias Smith')",0.0
"('Anthony Goldstein', 'Adrian Pucey')",0.0
"('Anthony Goldstein', 'Alicia Spinnet')",0.06666666666666667
"('Anthony Goldstein', 'Angelina Johnson')",0.06666666666666667
"('Anthony Goldstein', 'Blaise Zabini')",0.0
"('Anthony Goldstein', 'C. Warrington')",0.0
"('Anthony Goldstein', 'Cedric Diggory')",0.1111111111111111
"('Anthony Goldstein', 'Cho Chang')",0.125
"('Anthony Goldstein', 'Colin Creevey')",0.1111111111111111
"('Anthony Goldstein', 'Cormac McLaggen')",0.0
"('Anthony Goldstein', 'Dean Thomas')",0.07142857142857142
"('Anthony Goldstein', 'Demelza Robins')",0.0
"('Anthony Goldstein', 'Dennis Creevey')",0.1111111111111111
"('Anthony Goldstein', 'Draco Malfoy')",0.0
"('Anthony Goldstein', 'Eddie Carmichael')",0.0
"('Anthony Goldstein', 'Eleanor Branstone')",0.0
"('Anthony Goldstein', 'Ernie Macmillan')",1.0
"('Anthony Goldstein', 'Euan Abercrombie')",0.0
"('Anthony Goldstein', 'Fred Weasley')",0.058823529411764705
"('Anthony Goldstein', 'George Weasley')",0.058823529411764705
"('Anthony Goldstein', 'Ginny Weasley')",0.06666666666666667
"('Anthony Goldstein', 'Graham Pritchard')",0.0
"('Anthony Goldstein', 'Gregory Goyle')",0.0
"('Anthony Goldstein', 'Hannah Abbott')",1.0
"('Anthony Goldstein', 'Harry James Potter')",0.125
"('Anthony Goldstein', 'Hermione Granger')",0.047619047619047616
"('Anthony Goldstein', 'Jimmy Peakes')",0.0
"('Anthony Goldstein', 'Justin Finch-Fletchley')",1.0
"('Anthony Goldstein', 'Katie Bell')",0.07692307692307693
"('Anthony Goldstein', 'Kevin Whitby')",0.0
"('Anthony Goldstein', 'Lavender Brown')",0.0
"('Anthony Goldstein', 'Leanne')",0.0
"('Anthony Goldstein', 'Lee Jordan')",0.09090909090909091
"('Anthony Goldstein', 'Lucian Bole')",0.0
"('Anthony Goldstein', 'Luna Lovegood')",0.08333333333333333
"('Anthony Goldstein', 'Malcolm Baddock')",0.0
"('Anthony Goldstein', 'Mandy Brocklehurst')",0.0
"('Anthony Goldstein', 'Marcus Belby')",0.0
"('Anthony Goldstein', 'Marcus Flint')",0.0
"('Anthony Goldstein', 'Michael Corner')",0.0
"('Anthony Goldstein', 'Miles Bletchley')",0.0
"('Anthony Goldstein', 'Millicent Bulstrode')",0.0
"('Anthony Goldstein', 'Natalie McDonald')",0.0
"('Anthony Goldstein', 'Neville Longbottom')",0.07142857142857142
"('Anthony Goldstein', 'Oliver Wood')",0.07142857142857142
"('Anthony Goldstein', 'Orla Quirke')",0.0
"('Anthony Goldstein', 'Owen Cauldwell')",0.0
"('Anthony Goldstein', 'Padma Patil')",0.14285714285714285
"('Anthony Goldstein', 'Pansy Parkinson')",0.0
"('Anthony Goldstein', 'Parvati Patil')",0.0
"('Anthony Goldstein', 'Penelope Clearwater')",0.0
"('Anthony Goldstein', 'Percy Weasley')",0.1
"('Anthony Goldstein', 'Peregrine Derrick')",0.0
"('Anthony Goldstein', 'Roger Davies')",0.0
"('Anthony Goldstein', 'Romilda Vane')",0.0
"('Anthony Goldstein', 'Ronald Weasley')",0.047619047619047616
"('Anthony Goldstein', 'Rose Zeller')",0.0
"('Anthony Goldstein', 'Seamus Finnigan')",0.07142857142857142
"('Anthony Goldstein', 'Stewart Ackerley')",0.0
"('Anthony Goldstein', 'Susan Bones')",1.0
"('Anthony Goldstein', 'Terry Boot')",0.875
"('Anthony Goldstein', 'Theodore Nott')",0.0
"('Anthony Goldstein', 'Vincent Crabbe')",0.0
"('Anthony Goldstein', 'Zacharias Smith')",0.0
"('Blaise Zabini', 'Adrian Pucey')",0.0
"('Blaise Zabini', 'Alicia Spinnet')",0.0
"('Blaise Zabini', 'Angelina Johnson')",0.0
"('Blaise Zabini', 'Anthony Goldstein')",0.0
"('Blaise Zabini', 'C. Warrington')",0.0
"('Blaise Zabini', 'Cedric Diggory')",0.0
"('Blaise Zabini', 'Cho Chang')",0.0
"('Blaise Zabini', 'Colin Creevey')",0.0
"('Blaise Zabini', 'Cormac McLaggen')",0.0
"('Blaise Zabini', 'Dean Thomas')",0.0
"('Blaise Zabini', 'Demelza Robins')",0.0
"('Blaise Zabini', 'Dennis Creevey')",0.0
"('Blaise Zabini', 'Draco Malfoy')",0.0
"('Blaise Zabini', 'Eddie Carmichael')",0.0
"('Blaise Zabini', 'Eleanor Branstone')",0.0
"('Blaise Zabini', 'Ernie Macmillan')",0.0
"('Blaise Zabini', 'Euan Abercrombie')",0.0
"('Blaise Zabini', 'Fred Weasley')",0.0
"('Blaise Zabini', 'George Weasley')",0.0
"('Blaise Zabini', 'Ginny Weasley')",0.0
"('Blaise Zabini', 'Graham Pritchard')",0.0
"('Blaise Zabini', 'Gregory Goyle')",0.0
"('Blaise Zabini', 'Hannah Abbott')",0.0
"('Blaise Zabini', 'Harry James Potter')",0.0
"('Blaise Zabini', 'Hermione Granger')",0.0
"('Blaise Zabini', 'Jimmy Peakes')",0.0
"('Blaise Zabini', 'Justin Finch-Fletchley')",0.0
"('Blaise Zabini', 'Katie Bell')",0.0
"('Blaise Zabini', 'Kevin Whitby')",0.0
"('Blaise Zabini', 'Lavender Brown')",0.0
"('Blaise Zabini', 'Leanne')",0.0
"('Blaise Zabini', 'Lee Jordan')",0.0
"('Blaise Zabini', 'Lucian Bole')",0.0
"('Blaise Zabini', 'Luna Lovegood')",0.0
"('Blaise Zabini', 'Malcolm Baddock')",0.0
"('Blaise Zabini', 'Mandy Brocklehurst')",0.0
"('Blaise Zabini', 'Marcus Belby')",0.0
"('Blaise Zabini', 'Marcus Flint')",0.0
"('Blaise Zabini', 'Michael Corner')",0.0
"('Blaise Zabini', 'Miles Bletchley')",0.0
"('Blaise Zabini', 'Millicent Bulstrode')",0.0
"('Blaise Zabini', 'Natalie McDonald')",0.0
"('Blaise Zabini', 'Neville Longbottom')",0.0
"('Blaise Zabini', 'Oliver Wood')",0.0
"('Blaise Zabini', 'Orla Quirke')",0.0
"('Blaise Zabini', 'Owen Cauldwell')",0.0
"('Blaise Zabini', 'Padma Patil')",0.0
